year,month,value
1956,7,59.9
1956,8,58.08
1956,9,50.23
1956,10,42.89
1956,11,28.35
1956,12,25.18
1957,1,16.97
1957,2,27.61
1957,3,30.56
1957,4,39.29
1957,5,48.09
1957,6,56.41
1957,7,61.0
1957,8,58.48
1957,9,50.99
1957,10,41.11
1957,11,30.67
1957,12,26.26
1958,1,21.43
1958,2,21.85
1958,3,28.56
1958,4,38.5
1958,5,48.79
1958,6,55.29
1958,7,60.15
1958,8,59.9
1958,9,52.86
1958,10,41.61
1958,11,31.41
1958,12,21.09
1959,1,18.55
1959,2,21.76
1959,3,29.12
1959,4,38.68
1959,5,48.54
1959,6,56.91
1959,7,60.08
1959,8,60.31
1959,9,52.39
1959,10,41.79
1959,11,26.58
1959,12,25.97
1960,1,20.16
1960,2,20.62
1960,3,24.6
1960,4,39.83
1960,5,46.18
1960,6,55.72
1960,7,60.24
1960,8,59.13
1960,9,53.08
1960,10,42.26
1960,11,31.39
1960,12,20.08
1961,1,18.21
1961,2,26.33
1961,3,32.52
1961,4,36.34
1961,5,46.04
1961,6,55.94
1961,7,60.15
1961,8,59.83
1961,9,51.13
1961,10,40.69
1961,11,30.18
1961,12,21.51
1962,1,16.11
1962,2,24.17
1962,3,26.91
1962,4,38.7
1962,5,49.55
1962,6,55.15
1962,7,59.13
1962,8,58.21
1962,9,51.28
1962,10,43.77
1962,11,32.32
1962,12,22.71
1963,1,12.97
1963,2,22.08
1963,3,31.33
1963,4,39.61
1963,5,48.04
1963,6,55.94
1963,7,60.35
1963,8,59.0
1963,9,53.38
1963,10,45.21
1963,11,32.77
1963,12,17.49
1964,1,20.19
1964,2,20.14
1964,3,26.78
1964,4,39.18
1964,5,48.42
1964,6,55.29
1964,7,61.39
1964,8,57.78
1964,9,50.79
1964,10,39.63
1964,11,31.14
1964,12,22.37
1965,1,21.27
1965,2,20.82
1965,3,24.3
1965,4,40.23
1965,5,48.18
1965,6,54.59
1965,7,59.76
1965,8,58.32
1965,9,50.23
1965,10,41.22
1965,11,33.82
1965,12,25.97
1966,1,16.41
1966,2,20.59
1966,3,30.49
1966,4,37.53
1966,5,46.53
1966,6,54.68
1966,7,61.7
1966,8,58.1
1966,9,51.94
1966,10,39.31
1966,11,31.95
1966,12,22.77
1967,1,22.3
1967,2,20.79
1967,3,31.46
1967,4,39.2
1967,5,44.74
1967,6,55.56
1967,7,59.76
1967,8,57.76
1967,9,51.06
1967,10,40.77
1967,11,30.45
1967,12,22.37
1968,1,18.59
1968,2,22.01
1968,3,31.15
1968,4,37.96
1968,5,45.7
1968,6,55.67
1968,7,59.94
1968,8,58.44
1968,9,50.63
1968,10,41.79
1968,11,31.32
1968,12,19.94
1969,1,19.83
1969,2,23.13
1969,3,24.55
1969,4,39.96
1969,5,48.09
1969,6,54.48
1969,7,61.41
1969,8,59.56
1969,9,52.86
1969,10,39.96
1969,11,30.0
1969,12,23.81
1970,1,17.06
1970,2,23.31
1970,3,27.72
1970,4,37.49
1970,5,47.73
1970,6,55.92
1970,7,60.69
1970,8,59.88
1970,9,51.85
1970,10,40.46
1970,11,30.78
1970,12,23.07
1971,1,18.84
1971,2,22.37
1971,3,27.73
1971,4,37.04
1971,5,45.34
1971,6,56.52
1971,7,59.2
1971,8,58.96
1971,9,52.0
1971,10,43.48
1971,11,31.06
1971,12,24.75
1972,1,18.93
1972,2,21.85
1972,3,31.42
1972,4,38.14
1972,5,47.59
1972,6,55.31
1972,7,59.38
1972,8,58.93
1972,9,52.21
1972,10,41.13
1972,11,30.45
1972,12,20.34
1973,1,19.83
1973,2,23.14
1973,3,34.32
1973,4,37.42
1973,5,46.24
1973,6,56.07
1973,7,60.3
1973,8,59.47
1973,9,52.43
1973,10,43.3
1973,11,32.83
1973,12,23.65
1974,1,21.31
1974,2,22.73
1974,3,32.85
1974,4,38.8
1974,5,47.84
1974,6,54.81
1974,7,60.66
1974,8,57.56
1974,9,49.23
1974,10,40.8
1974,11,31.82
1974,12,24.03
1975,1,21.81
1975,2,22.44
1975,3,27.9
1975,4,35.62
1975,5,47.77
1975,6,55.13
1975,7,60.96
1975,8,58.77
1975,9,50.0
1975,10,41.68
1975,11,31.03
1975,12,24.01
1976,1,18.39
1976,2,27.5
1976,3,30.22
1976,4,39.11
1976,5,45.82
1976,6,54.64
1976,7,59.94
1976,8,57.33
1976,9,51.17
1976,10,37.22
1976,11,26.38
1976,12,18.68
1977,1,12.54
1977,2,23.56
1977,3,31.37
1977,4,40.55
1977,5,49.21
1977,6,57.11
1977,7,61.34
1977,8,59.52
1977,9,54.07
1977,10,41.25
1977,11,32.34
1977,12,23.31
1978,1,16.88
1978,2,18.14
1978,3,29.89
1978,4,39.76
1978,5,47.61
1978,6,55.76
1978,7,60.67
1978,8,58.77
1978,9,53.38
1978,10,40.44
1978,11,31.1
1978,12,19.38
1979,1,12.58
1979,2,17.56
1979,3,31.06
1979,4,38.52
1979,5,46.78
1979,6,54.55
1979,7,60.48
1979,8,58.66
1979,9,52.34
1979,10,42.12
1979,11,29.03
1979,12,24.93
1980,1,21.85
1980,2,22.41
1980,3,28.33
1980,4,38.41
1980,5,47.79
1980,6,55.38
1980,7,61.95
1980,8,59.76
1980,9,53.35
1980,10,39.49
1980,11,30.99
1980,12,24.21
1981,1,21.31
1981,2,24.71
1981,3,31.05
1981,4,42.37
1981,5,46.83
1981,6,57.34
1981,7,61.34
1981,8,59.23
1981,9,51.75
1981,10,40.95
1981,11,33.22
1981,12,23.86
1982,1,15.13
1982,2,21.79
1982,3,31.21
1982,4,36.28
1982,5,48.43
1982,6,54.03
1982,7,60.76
1982,8,59.59
1982,9,52.05
1982,10,41.14
1982,11,31.08
1982,12,26.6
1983,1,23.86
