year,month,value
1939,2,29.98
1939,3,42.51
1939,4,51.51
1939,5,62.69
1939,6,68.85
1939,7,74.84
1939,8,72.63
1939,9,67.35
1939,10,54.7
1939,11,42.3
1939,12,37.71
1940,1,23.83
1940,2,33.84
1940,3,41.52
1940,4,50.23
1940,5,60.84
1940,6,69.57
1940,7,74.12
1940,8,72.12
1940,9,65.34
1940,10,56.08
1940,11,39.0
1940,12,36.03
1941,1,32.2
1941,2,33.53
1941,3,39.2
1941,4,52.0
1941,5,62.31
1941,6,67.78
1941,7,73.96
1941,8,72.03
1941,9,64.51
1941,10,55.18
1941,11,42.91
1941,12,36.12
1942,1,29.84
1942,2,30.74
1942,3,41.31
1942,4,53.06
1942,5,59.07
1942,6,67.89
1942,7,73.94
1942,8,71.76
1942,9,63.64
1942,10,54.55
1942,11,43.14
1942,12,32.97
1943,1,29.41
1943,2,36.28
1943,3,38.5
1943,4,52.86
1943,5,59.7
1943,6,68.76
1943,7,74.25
1943,8,73.44
1943,9,64.31
1943,10,53.67
1943,11,40.91
1943,12,32.59
1944,1,32.02
1944,2,34.5
1944,3,38.48
1944,4,48.97
1944,5,62.01
1944,6,68.34
1944,7,72.77
1944,8,72.09
1944,9,65.25
1944,10,55.27
1944,11,41.49
1944,12,30.67
1945,1,30.49
1945,2,35.28
1945,3,45.52
1945,4,50.2
1945,5,58.26
1945,6,65.86
1945,7,72.91
1945,8,72.14
1945,9,64.98
1945,10,54.12
1945,11,42.01
1945,12,29.08
1946,1,31.39
1946,2,34.86
1946,3,46.76
1946,4,54.59
1946,5,58.75
1946,6,68.31
1946,7,73.83
1946,8,71.15
1946,9,64.53
1946,10,53.15
1946,11,41.74
1946,12,36.18
1947,1,31.78
1947,2,31.41
1947,3,38.75
1947,4,50.95
1947,5,60.12
1947,6,66.69
1947,7,72.77
1947,8,74.07
1947,9,66.52
1947,10,58.8
1947,11,38.1
1947,12,32.92
1948,1,27.88
1948,2,31.62
1948,3,38.71
1948,4,53.35
1948,5,60.22
1948,6,68.74
1948,7,73.22
1948,8,72.03
1948,9,66.06
1948,10,53.17
1948,11,41.59
1948,12,32.58
1949,1,25.92
1949,2,31.91
1949,3,40.75
1949,4,52.05
1949,5,61.7
1949,6,69.22
1949,7,74.19
1949,8,72.07
1949,9,63.72
1949,10,54.03
1949,11,45.27
1949,12,33.26
1950,1,30.43
1950,2,35.55
1950,3,38.84
1950,4,48.65
1950,5,59.43
1950,6,67.91
1950,7,71.2
1950,8,70.0
1950,9,63.48
1950,10,57.45
1950,11,40.62
1950,12,33.01
1951,1,30.2
1951,2,34.54
1951,3,38.55
1951,4,49.73
1951,5,60.76
1951,6,66.61
1951,7,73.67
1951,8,71.87
1951,9,64.08
1951,10,53.98
1951,11,38.08
1951,12,31.23
1952,1,32.0
1952,2,35.46
1952,3,37.69
1952,4,51.66
1952,5,60.58
1952,6,70.74
1952,7,74.07
1952,8,72.81
1952,9,65.88
1952,10,52.95
1952,11,39.92
1952,12,33.44
1953,1,36.43
1953,2,35.87
1953,3,43.75
1953,4,48.74
1953,5,59.16
1953,6,70.16
1953,7,74.14
1953,8,72.09
1953,9,66.15
1953,10,56.19
1953,11,43.88
1953,12,33.69
1954,1,30.9
1954,2,41.41
1954,3,39.25
1954,4,54.16
1954,5,58.57
1954,6,68.83
1954,7,75.45
1954,8,72.16
1954,9,66.43
1954,10,54.66
1954,11,44.06
1954,12,33.91
1955,1,29.35
1955,2,31.05
1955,3,40.06
1955,4,52.84
1955,5,61.27
1955,6,66.52
1955,7,74.43
1955,8,73.85
1955,9,65.86
1955,10,55.02
1955,11,38.21
1955,12,31.71
1956,1,31.01
1956,2,32.27
1956,3,40.75
1956,4,49.37
1956,5,61.75
1956,6,70.34
1956,7,73.04
1956,8,71.67
1956,9,65.08
1956,10,56.16
1956,11,40.32
1956,12,36.21
1957,1,27.07
1957,2,38.07
1957,3,41.27
1957,4,50.68
1957,5,59.63
1957,6,68.68
1957,7,74.25
1957,8,71.64
1957,9,64.17
1957,10,51.67
1957,11,40.26
1957,12,37.0
1958,1,31.6
1958,2,31.98
1958,3,37.67
1958,4,50.27
1958,5,62.4
1958,6,67.89
1958,7,72.59
1958,8,73.27
1958,9,65.41
1958,10,54.73
1958,11,43.0
1958,12,32.22
1959,1,29.5
1959,2,32.49
1959,3,41.45
1959,4,51.58
1959,5,60.84
1959,6,69.94
1959,7,73.56
1959,8,73.15
1959,9,64.72
1959,10,53.31
1959,11,38.66
1959,12,35.94
1960,1,29.46
1960,2,30.52
1960,3,35.91
1960,4,52.57
1960,5,59.29
1960,6,69.04
1960,7,73.87
1960,8,72.19
1960,9,66.43
1960,10,54.75
1960,11,42.71
1960,12,30.4
1961,1,29.71
1961,2,37.42
1961,3,43.47
1961,4,48.67
1961,5,58.86
1961,6,69.48
1961,7,73.22
1961,8,72.68
1961,9,63.39
1961,10,53.83
1961,11,40.5
1961,12,31.08
1962,1,26.96
1962,2,34.92
1962,3,37.9
1962,4,51.84
1962,5,62.22
1962,6,67.89
1962,7,72.05
1962,8,72.1
1962,9,64.17
1962,10,56.1
1962,11,43.16
1962,12,33.4
1963,1,24.44
1963,2,34.12
1963,3,43.72
1963,4,51.87
1963,5,61.0
1963,6,68.65
1963,7,73.58
1963,8,71.96
1963,9,66.33
1963,10,59.34
1963,11,44.04
1963,12,27.9
1964,1,31.53
1964,2,31.77
1964,3,38.82
1964,4,51.3
1964,5,61.41
1964,6,67.98
1964,7,74.64
1964,8,70.7
1964,9,63.68
1964,10,53.78
1964,11,42.33
1964,12,32.04
1965,1,31.8
1965,2,32.52
1965,3,35.44
1965,4,51.87
1965,5,60.78
1965,6,66.81
1965,7,72.57
1965,8,71.04
1965,9,61.75
1965,10,54.99
1965,11,44.65
1965,12,35.85
1966,1,26.38
1966,2,31.24
1966,3,42.98
1966,4,49.96
1966,5,60.17
1966,6,67.91
1966,7,75.04
1966,8,70.83
1966,9,64.53
1966,10,52.81
1966,11,43.21
1966,12,32.68
1967,1,33.1
1967,2,32.88
1967,3,43.63
1967,4,51.01
1967,5,57.61
1967,6,67.53
1967,7,72.5
1967,8,71.19
1967,9,64.04
1967,10,53.91
1967,11,41.54
1967,12,32.07
1968,1,28.94
1968,2,32.92
1968,3,43.56
1968,4,50.58
1968,5,58.15
1968,6,68.49
1968,7,72.84
1968,8,70.57
1968,9,63.88
1968,10,54.63
1968,11,41.13
1968,12,30.04
1969,1,29.37
1969,2,32.81
1969,3,36.03
1969,4,52.61
1969,5,61.39
1969,6,66.79
1969,7,74.07
1969,8,73.2
1969,9,65.53
1969,10,51.03
1969,11,41.59
1969,12,33.46
1970,1,27.16
1970,2,35.33
1970,3,38.5
1970,4,49.42
1970,5,61.05
1970,6,68.72
1970,7,73.94
1970,8,73.36
1970,9,64.56
1970,10,52.25
1970,11,41.31
1970,12,33.58
1971,1,29.41
1971,2,33.48
1971,3,39.65
1971,4,50.27
1971,5,58.24
1971,6,69.42
1971,7,72.34
1971,8,72.0
1971,9,64.31
1971,10,55.06
1971,11,41.61
1971,12,33.98
1972,1,29.93
1972,2,33.55
1972,3,44.04
1972,4,50.79
1972,5,60.51
1972,6,68.18
1972,7,72.16
1972,8,71.65
1972,9,64.42
1972,10,52.27
1972,11,38.93
1972,12,29.86
1973,1,29.59
1973,2,33.58
1973,3,44.29
1973,4,48.83
1973,5,59.23
1973,6,68.94
1973,7,73.24
1973,8,72.57
1973,9,64.38
1973,10,56.07
1973,11,42.93
1973,12,33.71
1974,1,31.01
1974,2,34.74
1974,3,44.38
1974,4,51.55
1974,5,60.37
1974,6,68.47
1974,7,74.07
1974,8,70.29
1974,9,62.29
1974,10,53.87
1974,11,42.39
1974,12,33.66
1975,1,32.34
1975,2,32.76
1975,3,38.7
1975,4,46.83
1975,5,60.35
1975,6,67.5
1975,7,73.53
1975,8,71.51
1975,9,62.87
1975,10,54.63
1975,11,42.6
1975,12,34.29
1976,1,29.93
1976,2,39.56
1976,3,42.31
1976,4,51.84
1976,5,59.04
1976,6,67.78
1976,7,72.88
1976,8,70.63
1976,9,64.17
1976,10,49.98
1976,11,38.48
1976,12,30.92
1977,1,23.09
1977,2,36.03
1977,3,43.16
1977,4,54.07
1977,5,61.65
1977,6,70.32
1977,7,74.41
1977,8,71.76
1977,9,65.91
