year,month,fahrenheit
1946,7,87.13
1946,8,84.18
1946,9,77.4
1946,10,65.07
1946,11,52.18
1946,12,46.78
1947,1,42.31
1947,2,43.11
1947,3,50.11
1947,4,63.0
1947,5,73.18
1947,6,78.82
1947,7,86.49
1947,8,87.22
1947,9,80.19
1947,10,71.4
1947,11,47.52
1947,12,42.96
1948,1,38.98
1948,2,42.48
1948,3,50.0
1948,4,66.02
1948,5,73.18
1948,6,81.5
1948,7,86.29
1948,8,85.48
1948,9,80.01
1948,10,66.96
1948,11,52.16
1948,12,42.73
1949,1,35.73
1949,2,42.93
1949,3,51.71
1949,4,65.08
1949,5,74.52
1949,6,81.93
1949,7,87.06
1949,8,85.62
1949,9,77.05
1949,10,65.95
1949,11,58.42
1949,12,44.1
1950,1,41.32
1950,2,47.1
1950,3,50.52
1950,4,61.16
1950,5,72.23
1950,6,81.12
1950,7,83.61
1950,8,83.5
1950,9,75.51
1950,10,70.7
1950,11,52.63
1950,12,43.75
1951,1,41.13
1951,2,46.08
1951,3,50.07
1951,4,62.04
1951,5,73.99
1951,6,79.29
1951,7,86.86
1951,8,84.85
1951,9,77.41
1951,10,65.97
1951,11,48.94
1951,12,41.38
1952,1,42.28
1952,2,46.2
1952,3,48.22
1952,4,64.51
1952,5,73.69
1952,6,84.0
1952,7,87.82
1952,8,86.13
1952,9,80.4
1952,10,68.65
1952,11,51.46
1952,12,42.75
1953,1,46.83
1953,2,47.21
1953,3,55.33
1953,4,60.75
1953,5,71.31
1953,6,83.35
1953,7,87.42
1953,8,85.57
1953,9,81.36
1953,10,70.32
1953,11,55.56
1953,12,43.93
1954,1,41.72
1954,2,53.83
1954,3,50.72
1954,4,67.19
1954,5,71.44
1954,6,81.82
1954,7,89.26
1954,8,85.3
1954,9,80.1
1954,10,67.21
1954,11,56.05
1954,12,44.47
1955,1,39.27
1955,2,42.37
1955,3,52.32
1955,4,65.57
1955,5,74.25
1955,6,79.39
1955,7,87.21
1955,8,87.17
1955,9,79.52
1955,10,68.7
1955,11,49.69
1955,12,41.88
1956,1,41.14
1956,2,43.23
1956,3,53.47
1956,4,62.11
1956,5,74.64
1956,6,83.93
1956,7,86.16
1956,8,85.26
1956,9,79.92
1956,10,69.4
1956,11,52.29
1956,12,47.26
1957,1,37.17
1957,2,48.52
1957,3,51.98
1957,4,62.08
1957,5,71.17
1957,6,80.96
1957,7,87.49
1957,8,84.78
1957,9,77.34
1957,10,62.22
1957,11,49.86
1957,12,47.75
1958,1,41.77
1958,2,42.1
1958,3,46.76
1958,4,62.02
1958,5,76.01
1958,6,80.49
1958,7,85.03
1958,8,86.63
1958,9,77.94
1958,10,67.82
1958,11,54.59
1958,12,43.32
1959,1,40.46
1959,2,43.23
1959,3,53.76
1959,4,64.49
1959,5,73.11
1959,6,82.98
1959,7,87.04
1959,8,85.98
1959,9,77.04
1959,10,64.83
1959,11,50.74
1959,12,45.91
1960,1,38.75
1960,2,40.44
1960,3,47.19
1960,4,65.3
1960,5,72.37
1960,6,82.36
1960,7,87.48
1960,8,85.26
1960,9,79.77
1960,10,67.24
1960,11,54.03
1960,12,40.69
1961,1,41.23
1961,2,48.49
1961,3,54.39
1961,4,60.98
1961,5,71.67
1961,6,82.99
1961,7,86.27
1961,8,85.5
1961,9,75.65
1961,10,66.96
1961,11,50.79
1961,12,40.68
1962,1,37.83
1962,2,45.66
1962,3,48.9
1962,4,64.96
1962,5,74.89
1962,6,80.62
1962,7,84.96
1962,8,85.98
1962,9,77.02
1962,10,68.43
1962,11,54.0
1962,12,44.1
1963,1,35.91
1963,2,46.17
1963,3,56.08
1963,4,64.13
1963,5,73.94
1963,6,81.34
1963,7,86.81
1963,8,84.9
1963,9,79.23
1963,10,73.45
1963,11,55.29
1963,12,38.32
1964,1,42.89
1964,2,43.39
1964,3,50.85
1964,4,63.39
1964,5,74.39
1964,6,80.65
1964,7,87.87
1964,8,83.61
1964,9,76.57
1964,10,67.91
1964,11,53.51
1964,12,41.7
1965,1,42.35
1965,2,44.22
1965,3,46.6
1965,4,63.52
1965,5,73.38
1965,6,79.03
1965,7,85.41
1965,8,83.75
1965,9,73.27
1965,10,68.74
1965,11,55.49
1965,12,45.72
1966,1,36.37
1966,2,41.9
1966,3,55.49
1966,4,62.37
1966,5,73.8
1966,6,81.14
1966,7,88.38
1966,8,83.55
1966,9,77.09
1966,10,66.31
1966,11,54.48
1966,12,42.6
1967,1,43.88
1967,2,44.98
1967,3,55.8
1967,4,62.8
1967,5,70.47
1967,6,79.48
1967,7,85.24
1967,8,84.61
1967,9,77.0
1967,10,67.06
1967,11,52.61
1967,12,41.79
1968,1,39.29
1968,2,43.83
1968,3,55.94
1968,4,63.18
1968,5,70.61
1968,6,81.3
1968,7,85.75
1968,8,82.71
1968,9,77.13
1968,10,67.46
1968,11,50.95
1968,12,40.14
1969,1,38.91
1969,2,42.48
1969,3,47.5
1969,4,65.26
1969,5,74.7
1969,6,79.11
1969,7,86.74
1969,8,86.85
1969,9,78.21
1969,10,62.08
1969,11,53.19
1969,12,43.11
1970,1,37.24
1970,2,47.37
1970,3,49.28
1970,4,61.36
1970,5,74.37
1970,6,81.52
1970,7,87.17
1970,8,86.83
1970,9,77.25
1970,10,64.04
1970,11,51.8
1970,12,44.1
1971,1,39.97
1971,2,44.58
1971,3,51.57
1971,4,63.46
1971,5,71.17
1971,6,82.33
1971,7,85.48
1971,8,85.01
1971,9,76.62
1971,10,66.61
1971,11,52.14
1971,12,43.23
1972,1,40.95
1972,2,45.25
1972,3,56.66
1972,4,63.45
1972,5,73.42
1972,6,81.05
1972,7,84.92
1972,8,84.36
1972,9,76.6
1972,10,63.39
1972,11,47.41
1972,12,39.4
1973,1,39.34
1973,2,44.02
1973,3,54.27
1973,4,60.22
1973,5,72.19
1973,6,81.79
1973,7,86.14
1973,8,85.69
1973,9,76.33
1973,10,68.81
1973,11,53.01
1973,12,43.77
1974,1,40.69
1974,2,46.76
1974,3,55.9
1974,4,64.27
1974,5,72.86
1974,6,82.13
1974,7,87.46
1974,8,82.99
1974,9,75.34
1974,10,66.94
1974,11,52.93
1974,12,43.3
1975,1,42.87
1975,2,43.07
1975,3,49.5
1975,4,58.06
1975,5,72.9
1975,6,79.86
1975,7,86.09
1975,8,84.24
1975,9,75.74
1975,10,67.55
1975,11,54.18
1975,12,44.55
1976,1,41.45
1976,2,51.6
1976,3,54.39
1976,4,64.56
1976,5,72.23
1976,6,80.92
1976,7,85.82
1976,8,83.93
1976,9,77.16
1976,10,62.74
1976,11,50.58
1976,12,43.16
1977,1,33.66
1977,2,48.51
1977,3,54.97
1977,4,67.57
1977,5,74.08
1977,6,83.52
1977,7,87.46
1977,8,84.0
1977,9,77.76
1977,10,66.67
1977,11,53.37
1977,12,43.23
1978,1,34.84
1978,2,37.83
1978,3,52.7
1978,4,63.39
1978,5,71.83
1978,6,82.06
1978,7,86.88
1978,8,84.79
1978,9,78.24
1978,10,68.34
1978,11,51.82
1978,12,40.24
1979,1,31.26
1979,2,38.68
1979,3,53.06
1979,4,61.75
1979,5,71.44
1979,6,81.03
1979,7,85.73
1979,8,83.23
1979,9,79.79
1979,10,68.38
1979,11,50.81
1979,12,47.12
1980,1,40.37
1980,2,43.29
1980,3,50.4
1980,4,64.42
1980,5,72.72
1980,6,82.02
1980,7,89.49
1980,8,85.77
1980,9,79.09
1980,10,65.66
1980,11,53.62
1980,12,46.15
1981,1,43.54
1981,2,48.45
1981,3,54.64
1981,4,67.86
1981,5,71.06
1981,6,82.22
1981,7,86.5
1981,8,84.92
1981,9,78.04
1981,10,63.66
1981,11,56.23
1981,12,43.45
1982,1,37.33
1982,2,43.38
1982,3,52.81
1982,4,60.94
1982,5,73.13
1982,6,78.57
1982,7,85.59
1982,8,84.52
1982,9,76.01
1982,10,65.34
1982,11,51.17
1982,12,45.03
1983,1,42.35
1983,2,46.53
1983,3,52.03
1983,4,58.19
1983,5,70.5
1983,6,79.61
1983,7,86.94
1983,8,87.93
1983,9,78.69
1983,10,66.67
1983,11,52.75
1983,12,34.43
1984,1,38.97
1984,2,48.83
1984,3,50.99
1984,4,61.21
1984,5,72.95
1984,6,81.1
1984,7,86.05
1984,8,85.82
1984,9,75.99
1984,10,64.2
1984,11,52.25
1984,12,44.46
1985,1,36.43
1985,2,41.68
1985,3,54.91
1985,4,67.41
1985,5,75.15
1985,6,81.27
1985,7,87.31
1985,8,83.8
1985,9,74.48
1985,10,65.73
1985,11,48.79
1985,12,39.47
1986,1,46.04
1986,2,45.93
1986,3,58.57
1986,4,65.43
1986,5,73.69
1986,6,83.14
1986,7,86.05
1986,8,84.54
1986,9,74.57
1986,10,65.57
1986,11,51.33
1986,12,43.7
1987,1,41.52
1987,2,47.61
1987,3,53.87
1987,4,67.64
1987,5,75.34
1987,6,83.25
1987,7,85.8
1987,8,84.56
1987,9,78.67
1987,10,66.88
1987,11,54.79
1987,12,43.9
1988,1,38.14
1988,2,45.64
1988,3,54.91
1988,4,65.26
1988,5,74.93
1988,6,85.01
1988,7,88.16
1988,8,86.83
1988,9,77.58
1988,10,66.99
1988,11,54.05
1988,12,44.51
1989,1,45.14
1989,2,39.54
1989,3,54.45
1989,4,65.91
1989,5,73.15
1989,6,80.56
1989,7,86.99
1989,8,83.59
1989,9,76.91
1989,10,67.5
1989,11,54.81
1989,12,38.89
1990,1,47.16
1990,2,48.15
1990,3,56.1
1990,4,64.98
1990,5,70.88
1990,6,83.21
1990,7,85.71
1990,8,84.88
1990,9,80.33
1990,10,67.21
1990,11,56.88
1990,12,41.85
1991,1,39.24
1991,2,51.6
1991,3,54.72
1991,4,64.38
